State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
"Standing Rock Sioux Tribe, ND",12.0,4.0,6.0,13.0,9.0,13.0,11.0,6.0,7.0,9.0,0.0,0.0,7.5
"Three Affiliated Tribes, ND",2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,0.0,2.0,6.0,2.1666666666666665
"Cheyenne River Sioux, SD",8.0,4.0,4.0,5.0,8.0,5.0,8.0,6.0,7.0,9.0,9.0,14.0,7.25
"Rosebud Sioux, SD",67.0,66.0,63.0,55.0,43.0,35.0,37.0,41.0,39.0,44.0,46.0,47.0,48.583333333333336
"Northern Arapahoe, WY",11.0,11.0,11.0,9.0,7.0,7.0,8.0,8.0,8.0,8.0,6.0,6.0,8.333333333333334
"Shoshone Tribe, WY",8.0,7.0,2.0,2.0,3.0,4.0,6.0,6.0,6.0,8.0,2.0,3.0,4.75
Mountain Plains,15865.0,15338.0,15562.0,15507.0,15095.0,15255.0,15412.0,14995.0,15182.0,15455.0,15618.0,15840.0,15427.0
Alaska,702.0,709.0,754.0,748.0,744.0,723.0,748.0,720.0,731.0,764.0,783.0,761.0,740.5833333333334
American Samoa,543.0,533.0,539.0,518.0,502.0,502.0,495.0,499.0,500.0,486.0,504.0,505.0,510.5
Arizona,8343.0,8079.0,8079.0,7943.0,7855.0,7865.0,7828.0,7729.0,7772.0,7889.0,7900.0,8088.0,7947.5
California,50148.0,48674.0,48720.0,48806.0,47277.0,47528.0,47424.0,46473.0,46459.0,47214.0,46954.0,46719.0,47699.666666666664
Guam,282.0,277.0,272.0,268.0,298.0,293.0,265.0,266.0,262.0,263.0,255.0,270.0,272.5833333333333
Hawaii,855.0,847.0,858.0,877.0,865.0,846.0,824.0,791.0,807.0,836.0,841.0,812.0,838.25
Idaho,1675.0,1681.0,1688.0,1062.0,1014.0,1053.0,1032.0,1012.0,1071.0,1085.0,1079.0,1034.0,1207.1666666666667
Nevada,3085.0,3059.0,3091.0,3033.0,3030.0,3094.0,3083.0,3043.0,3075.0,3097.0,3099.0,3079.0,3072.3333333333335
Oregon,2000.0,1952.0,1989.0,1997.0,1967.0,1978.0,1959.0,1972.0,2002.0,1935.0,1973.0,1946.0,1972.5
Washington,5481.0,5447.0,5476.0,5407.0,5348.0,5404.0,5472.0,5400.0,5491.0,5650.0,5620.0,5563.0,5479.916666666667
Northern Marianas,184.0,167.0,160.0,160.0,158.0,172.0,159.0,168.0,170.0,167.0,164.0,160.0,165.75
"Inter-Tribal Council, AZ",223.0,207.0,231.0,213.0,227.0,224.0,229.0,226.0,224.0,226.0,222.0,189.0,220.08333333333334
"Navajo Nation, AZ",475.0,454.0,435.0,444.0,409.0,443.0,421.0,421.0,440.0,432.0,439.0,436.0,437.4166666666667
"Inter-Tribal Council, NV",32.0,25.0,26.0,31.0,34.0,40.0,38.0,37.0,35.0,35.0,34.0,40.0,33.916666666666664
