State Agency or Indian Tribal Organization,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,Average Participation
Mountain Plains,269062.0,262791.0,260234.0,259994.0,255197.0,254869.0,254674.0,252778.0,253397.0,253261.0,255241.0,255031.0,257210.75
Alaska,10557.0,10479.0,10561.0,10772.0,10608.0,10582.0,10445.0,10288.0,10240.0,10372.0,10464.0,10414.0,10481.833333333334
American Samoa,4130.0,4105.0,4131.0,4071.0,4061.0,4075.0,4035.0,4005.0,3987.0,3962.0,3970.0,3997.0,4044.0833333333335
Arizona,76606.0,73110.0,70938.0,70252.0,68649.0,69044.0,69608.0,71355.0,74080.0,76415.0,78755.0,79264.0,73173
California,755479.0,729347.0,724472.0,734849.0,710925.0,717387.0,715649.0,703900.0,709392.0,717707.0,717213.0,709081.0,720450.0833333334
Guam,3968.0,3765.0,3665.0,3737.0,3741.0,3824.0,3975.0,3885.0,3934.0,4088.0,4078.0,4095.0,3896.25
Hawaii,17938.0,17262.0,16946.0,16875.0,16571.0,16309.0,16309.0,16318.0,16442.0,16527.0,16559.0,16395.0,16704.25
Idaho,21016.0,20635.0,20403.0,20975.0,20766.0,20544.0,20565.0,20297.0,20296.0,20366.0,20571.0,20745.0,20598.25
Nevada,39875.0,39136.0,38218.0,38048.0,37070.0,36906.0,36490.0,36554.0,36823.0,37294.0,37594.0,37634.0,37636.833333333336
Oregon,55595.0,54057.0,53712.0,53544.0,53094.0,53087.0,52988.0,52485.0,53075.0,52806.0,52664.0,52529.0,53303
Washington,100844.0,100787.0,100672.0,100929.0,98982.0,99266.0,99197.0,98021.0,97770.0,98537.0,98423.0,98711.0,99344.91666666667
Northern Marianas,2358.0,2211.0,2264.0,2233.0,2208.0,2334.0,2349.0,2362.0,2364.0,2343.0,2244.0,2262.0,2294.3333333333335
"Inter-Tribal Council, AZ",5096.0,4807.0,4832.0,5209.0,5162.0,5198.0,5241.0,5277.0,5397.0,5409.0,5371.0,5334.0,5194.416666666667
"Navajo Nation, AZ",5878.0,5514.0,5240.0,5361.0,5131.0,5241.0,5013.0,5074.0,5410.0,5626.0,5712.0,5655.0,5404.583333333333
"Inter-Tribal Council, NV",796.0,798.0,773.0,783.0,756.0,781.0,772.0,779.0,789.0,799.0,783.0,774.0,781.9166666666666
